fmodbid,PDB-ID
X17ZX,1BL6
XV51P,1BL7
XYZ2P,1BMK
P5JZX,1KV1
P4JNP,1KV2
PKG3P,1M7Q
XR88X,1OVE
PZVNP,1W7H
X6YZP,1WBT
P2NRP,1ZYJ
P76KX,1ZZ2
XMNZP,1ZZL
P982X,2BAJ
PLN9P,2BAQ
P3JLX,2GFS
PJQ9X,2I0H
XNNQX,2RG5
P89YX,2RG6
PG51P,3DS6
X1NZP,3DT1
XVQ1P,3FLN
XYV2P,3FLQ
P5NZX,3FLS
P4LNP,3FLW
PK23X,3FLY
XQNYP,3FLZ
XRY8P,3FMH
PZNNP,3FMK
X6GZP,3FML
P2LRP,3FMM
P7MKP,3FMN
XM9ZX,3GC7
PL79X,3GCS
P37LP,3GCU
PJ29P,3GCU
XN2QX,3GCV
P8NYP,3GFE
PGY1P,3HEG
X16ZP,3HL7
XVK1P,3HP2
XYN2P,3HP5
P5RZX,3HRB
P4QNX,3HUB
PKK3P,3HV3
XQKYX,3HV4
XRQ8P,3HV4
PZ7NX,3HV5
X6ZZX,3HV5
P24RP,3HV7
P7YKP,3IPH
XMRZP,3ITZ
P9L2X,3L8X
PLQ9X,3LFF
P3KLP,3MPT
PJ49P,3MVL
XNZQX,3MVL
P8GYX,3MVM
X15ZX,3NNV
XVV1X,3NWW
XY92X,3O8P
PK83X,3OBJ
XQMYX,3OC1
XRM8P,3OCG
PZLNP,3PG3
X67ZP,3QUD
P2RRP,3QUE
P7NKX,3RIN
XM8ZP,3ROC
P972P,3S4Q
PLG9X,3U8W
P3ZLX,3UVP
PJY9X,3ZSG
XN8QX,3ZSH
P87YX,3ZSI
PGR1X,3ZYA
X1YZX,4AA0
XVN1X,4AA4
XY12X,4AA5
P55ZP,1BL6
P4YNX,4AAC
PKV3X,4KIN
XQLYP,4KIN
XRL8X,4KIN
PZZNP,4KIN
X64ZX,4KIP
P7KKP,4KIQ
XMLZP,4KIQ
P9R2X,4KIQ
PLV9P,4KIQ
PL39X,3OBJ
PJ99X,4AA0
XNGQP,2ZB0
P8VYP,2GFS
PG21X,4KIQ
X1LZP,3FMN
XVG1P,2ZAZ
P56ZX,3BX5
P4ZNP,4KIQ
PK53P,3GCU
XQ6YP,3D83
